id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-1018,10008,Done,NGBC,B2C,10201,Bug,8,8,34,6
NGBC-1027,10008,Done,NGBC,B2C,10600,Technical Story,2,2,7,1
NGBC-1028,10008,Done,NGBC,B2C,10200,Story,3,3,7,0.96
NGBC-1029,10008,Done,NGBC,B2C,10600,Technical Story,3,3,2,0.92
NGBC-1030,10008,Done,NGBC,B2C,10200,Story,5,5,12,4
NGBC-1031,10008,Done,NGBC,B2C,10200,Story,3,3,14,2
NGBC-1039,10008,Done,NGBC,B2C,10200,Story,3,3,8,7
NGBC-1049,10008,Done,NGBC,B2C,10600,Technical Story,3,3,6,2
NGBC-1051,10008,Done,NGBC,B2C,10600,Technical Story,3,3,6,2
NGBC-1052,10008,Done,NGBC,B2C,10600,Technical Story,2,2,12,2
NGBC-1053,10008,Done,NGBC,B2C,10600,Technical Story,3,3,6,2
NGBC-1059,10008,Done,NGBC,B2C,10103,Task,2,2,3,1
NGBC-1074,10008,Done,NGBC,B2C,10200,Story,5,5,7,4
NGBC-1082,10008,Done,NGBC,B2C,10200,Story,5,5,11,7
NGBC-1090,10008,Done,NGBC,B2C,10200,Story,3,3,2,0.92
NGBC-1095,10008,Done,NGBC,B2C,10200,Story,2,2,6,5
NGBC-1099,10008,Done,NGBC,B2C,10103,Task,3,3,2,0.29
NGBC-1111,10008,Done,NGBC,B2C,10200,Story,3,3,0.08,0.04
NGBC-1118,10008,Done,NGBC,B2C,10201,Bug,2,2,2,0.96
NGBC-1119,10008,Done,NGBC,B2C,10201,Bug,1,1,2,1
NGBC-1120,10008,Done,NGBC,B2C,10201,Bug,2,2,0.25,0.25
NGBC-1124,10008,Done,NGBC,B2C,10201,Bug,1,1,0.13,0.13
NGBC-1126,10008,Done,NGBC,B2C,10600,Technical Story,13,5,25,15
NGBC-1127,10008,Done,NGBC,B2C,10600,Technical Story,8,NULL,16,0.92
NGBC-1128,10008,Done,NGBC,B2C,10600,Technical Story,5,5,17,7
NGBC-1129,10008,Done,NGBC,B2C,10600,Technical Story,8,NULL,16,0.96
NGBC-1131,10008,Done,NGBC,B2C,10200,Story,3,3,1,0.29
NGBC-1138,10008,Done,NGBC,B2C,10200,Story,5,2,52,0
NGBC-1140,10008,Done,NGBC,B2C,10600,Technical Story,2,2,8,0.79
NGBC-1141,10008,Done,NGBC,B2C,10200,Story,3,2,8,0.38
NGBC-1145,10008,Done,NGBC,B2C,10200,Story,2,2,1,1
NGBC-1146,10104,Canceled,NGBC,B2C,10600,Technical Story,3,NULL,201,194
NGBC-1149,10008,Done,NGBC,B2C,10200,Story,2,2,6,1
NGBC-1151,10008,Done,NGBC,B2C,10200,Story,2,2,16,10
NGBC-1152,10008,Done,NGBC,B2C,10200,Story,2,2,6,0.21
NGBC-1153,10008,Done,NGBC,B2C,10200,Story,2,2,6,0.21
NGBC-1155,10008,Done,NGBC,B2C,10200,Story,3,3,68,6
NGBC-1157,10008,Done,NGBC,B2C,10600,Technical Story,2,3,0.13,0
NGBC-1175,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,6,5
NGBC-1177,10008,Done,NGBC,B2C,10200,Story,2,2,6,4
NGBC-1178,10008,Done,NGBC,B2C,10200,Story,3,3,23,0.21
NGBC-1179,10008,Done,NGBC,B2C,10200,Story,6,3,6,3
NGBC-1182,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,0.96,0
NGBC-1183,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,0.96,0.13
NGBC-1185,10008,Done,NGBC,B2C,10200,Story,3,3,41,0.83
NGBC-1186,10008,Done,NGBC,B2C,10200,Story,1,1,15,14
NGBC-1190,10008,Done,NGBC,B2C,10200,Story,1,1,2,1
NGBC-1197,10008,Done,NGBC,B2C,10200,Story,3,3,28,6
NGBC-1202,10008,Done,NGBC,B2C,10600,Technical Story,13,5,38,4
NGBC-1206,10008,Done,NGBC,B2C,10201,Bug,3,3,6,0.83
NGBC-1207,10008,Done,NGBC,B2C,10600,Technical Story,1,1,6,2
NGBC-1211,10008,Done,NGBC,B2C,10200,Story,8,5,36,23
NGBC-1217,10008,Done,NGBC,B2C,10200,Story,NULL,5,46,12
NGBC-1223,10008,Done,NGBC,B2C,10200,Story,3,3,47,5
NGBC-1226,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,82,0.08
NGBC-1229,10008,Done,NGBC,B2C,10200,Story,13,5,99,45
NGBC-1242,10008,Done,NGBC,B2C,10600,Technical Story,1,1,73,0
NGBC-1243,10008,Done,NGBC,B2C,10600,Technical Story,1,1,73,0
NGBC-1244,10008,Done,NGBC,B2C,10600,Technical Story,1,1,73,0
NGBC-1245,10008,Done,NGBC,B2C,10600,Technical Story,1,1,74,0.79
NGBC-1249,10008,Done,NGBC,B2C,10200,Story,5,1,7,0
NGBC-1251,10008,Done,NGBC,B2C,10200,Story,5,3,231,2
NGBC-1255,10008,Done,NGBC,B2C,10200,Story,5,5,232,1
NGBC-1257,10008,Done,NGBC,B2C,10200,Story,5,2,15,1
NGBC-1262,10008,Done,NGBC,B2C,10200,Story,NULL,5,145,7
NGBC-1287,10008,Done,NGBC,B2C,10201,Bug,2,2,124,0.83
NGBC-1291,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,86,29
NGBC-1297,10008,Done,NGBC,B2C,10200,Story,5,5,111,1
NGBC-130,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,12,11
NGBC-133,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,45,44
NGBC-1331,10008,Done,NGBC,B2C,10200,Story,13,5,125,6
NGBC-1335,10008,Done,NGBC,B2C,10200,Story,5,5,135,10
NGBC-1336,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,52,0.88
NGBC-1338,10008,Done,NGBC,B2C,10200,Story,2,2,12,1
NGBC-1339,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,6,2
NGBC-134,10008,Done,NGBC,B2C,10200,Story,1,1,112,54
NGBC-1345,10008,Done,NGBC,B2C,10200,Story,3,3,1,0.25
NGBC-1346,10008,Done,NGBC,B2C,10200,Story,3,3,2,0.92
NGBC-1347,10008,Done,NGBC,B2C,10200,Story,3,3,4,1
NGBC-1348,10008,Done,NGBC,B2C,10200,Story,5,5,8,6
NGBC-1349,10008,Done,NGBC,B2C,10600,Technical Story,3,3,9,1
NGBC-135,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,31,21
NGBC-136,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,40,39
NGBC-1360,10008,Done,NGBC,B2C,10600,Technical Story,NULL,3,9,5
NGBC-1367,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,29,1
NGBC-137,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,53,53
NGBC-1372,10008,Done,NGBC,B2C,10600,Technical Story,2,2,9,0.71
NGBC-1373,10008,Done,NGBC,B2C,10200,Story,3,3,29,17
NGBC-1377,10008,Done,NGBC,B2C,10200,Story,5,5,29,16
NGBC-1378,10008,Done,NGBC,B2C,10200,Story,2,2,29,7
NGBC-138,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,29,28
NGBC-1386,10008,Done,NGBC,B2C,10201,Bug,2,2,0.96,0.96
NGBC-1389,10008,Done,NGBC,B2C,10600,Technical Story,2,5,15,4
NGBC-139,10008,Done,NGBC,B2C,10200,Story,1,1,57,0
NGBC-1390,10008,Done,NGBC,B2C,10600,Technical Story,2,5,15,13
NGBC-140,10008,Done,NGBC,B2C,10200,Story,1,1,112,0
NGBC-141,10008,Done,NGBC,B2C,10200,Story,1,1,57,0
NGBC-1411,10008,Done,NGBC,B2C,10600,Technical Story,1,1,0.08,0
NGBC-1417,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,1,0.04
NGBC-142,10008,Done,NGBC,B2C,10200,Story,1,1,36,35
NGBC-1425,10008,Done,NGBC,B2C,10200,Story,NULL,3,14,1
NGBC-1427,10008,Done,NGBC,B2C,10600,Technical Story,3,3,10,2
NGBC-143,10008,Done,NGBC,B2C,10200,Story,1,1,61,2
NGBC-144,10008,Done,NGBC,B2C,10200,Story,1,1,112,56
NGBC-1447,10008,Done,NGBC,B2C,10201,Bug,1,1,0,0
NGBC-145,10008,Done,NGBC,B2C,10200,Story,1,1,3,2
NGBC-1451,10008,Done,NGBC,B2C,10201,Bug,3,3,12,2
NGBC-1454,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-146,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,90,24
NGBC-1461,10008,Done,NGBC,B2C,10200,Story,3,3,14,1
NGBC-147,10008,Done,NGBC,B2C,10200,Story,1,1,3,2
NGBC-1471,10008,Done,NGBC,B2C,10200,Story,2,2,5,3
NGBC-1473,10008,Done,NGBC,B2C,10201,Bug,2,2,6,4
NGBC-1474,10008,Done,NGBC,B2C,10201,Bug,2,2,45,3
NGBC-1478,10008,Done,NGBC,B2C,10201,Bug,2,2,31,3
